pais;codigo;superficeTotal;porcenTierras agricolas;porcenPoblacionUrbana;consumoEnergiaElectrica;gastoPublicoEducaci¢n;investigadoresDedicados;PIBperCapita;esperanzaVidaHhombres;esperanzaVidaMujeres,
Aruba;ABW;180;11.11111111;43.546;;5.524149895;;51923.77048;73.628;78.507,
Afganist n;AFG;652860;58.06757957;25.754;;4.058869839;;38631.13944;63.047;66.026,
Angola;AGO;1246700;47.47734018;66.177;312.228825;;18.81599;1018129.07;58.064;63.666,
Albania;ALB;28750;43.12773544;61.229;2309.366503;3.611720085;;588058.2301;76.816;80.167,
Andorra;AND;470;39.95744827;87.984;;3.151619911;;36523.81323;;,
El mundo  rabe;ARB;11273300.99;36.61084951;59.20164687;2508.40784;;;;70.1159947;73.66302795,
Emiratos µrabes Unidos;ARE;83600;5.474514049;86.789;11088.35029;;2378.88895;158296.9539;77.133;79.164,
Argentina;ARG;2780400;54.33571212;91.991;3074.702071;5.462230206;1192.22598;477255.5533;73.082;79.863,
Armenia;ARM;29740;58.89708637;63.219;1961.610395;2.707590103;;2220969.655;71.215;78.354,
Samoa Americana;ASM;200;24.50000048;87.147;;;;11466.69071;;,
Antigua y Barbuda;ATG;440;20.45454545;24.506;;;;46204.61706;75.721;77.983,
Australia;AUS;7741220;48.24194425;86.124;10071.39898;5.124249935;;76985.34795;80.7;84.9,
Austria;AUT;83879.00391;32.35667614;58.515;8355.841952;5.358039856;5733.07565;44786.78374;79.4;84.1,
Azerbaiy n;AZE;86600;57.73557518;56.031;2202.393918;2.455430031;;8149.097933;70.345;75.336,
Burundi;BDI;27830;79.16666667;13.366;;5.078649998;23.43546;482160.164;59.435;63.031,
B‚lgica;BEL;30530;44.61030544;98.041;7709.123078;6.412280083;5023.26301;41466.47678;79.4;83.9,
Benin;BEN;114760;33.25647393;47.861;100.2251225;2.933969975;;714527.5496;59.914;63.003,
Burkina Faso;BFA;274220;44.2251462;29.98;;5.383790016;;461050.8062;60.361;61.863,
Bangladesh;BGD;147630;70.63232666;37.405;320.2041582;1.326320052;;155936.367;70.637;74.291,
Bulgaria;BGR;111000;46.25092115;75.347;4708.927458;4.09250021;2342.86988;17169.77546;71.5;78.6,
Bahrein;BHR;778.0000305;11.05398463;89.394;19596.95376;2.327810049;;8837.4954;76.312;78.285,
Bahamas;BHS;13880;1.398601399;83.132;;;;34863.7421;71.499;75.911,
Bosnia y Herzegovina;BIH;51210;43.14453125;48.626;3446.766668;;471.2501;10672.17904;74.752;79.72,
Belar£s;BLR;207600;42.03548913;79.044;3679.97884;4.794990063;;13938.28109;69.2;79.4,
Belice;BLZ;22970;7.014467339;45.866;;7.561490059;;9630.327422;71.579;77.666,
Bermudas;BMU;4290;5.555555678;100;;1.500390053;;117089.2863;77.92;85.57,
Bolivia;BOL;1098580;34.78722422;69.773;742.5383997;;;24544.79513;68.434;74.209,
Brasil;BRA;8515770;33.92453345;86.824;2619.960616;6.32254982;;34384.94127;72.024;79.362,
Barbados;BRB;430;23.25581395;31.158;;4.366380215;;36296.48985;77.682;80.392,
Brunei Darussalam;BRN;5770;2.732447745;77.942;10291.16405;4.425409794;;42408.54588;74.593;76.96,
Bhut n;BTN;38393.99902;13.60633424;41.612;;6.850840092;;233526.0886;71.123;71.816,
Botswana;BWA;581730;45.6330168;70.172;1815.558069;;;85631.21752;66.204;72.049,
Rep£blica Centroafricana;CAF;622980;8.154354875;41.77;;;;274152.1165;50.649;54.991,
Canad ;CAN;9984670;6.891838245;81.482;15588.48715;;4325.64492;61290.85482;79.9;84.1,
Europa Central y del B ltico;CEB;1135391.001;46.71570784;62.438582;4115.630201;4.09250021;2690.764719;;73.36108973;80.78213089,
Suiza;CHE;41290.40039;38.36344603;73.849;7520.166025;5.130189896;5450.4318;81483.31617;81.9;85.7,
Islas del Canal;CHI;197.9999924;46.46464729;30.931;;;;;80.974;84.798,
Chile;CHL;756700;21.17164983;87.643;3879.675605;5.41945982;493.29542;10470679.03;77.552;82.381,
China;CHN;9562910;56.2123131;60.308;3927.0445;;1307.12128;70891.7849;74.549;79.051,
C“te d'Ivoire;CIV;322460;64.77987421;51.239;274.7300905;3.256030083;;1333728.708;56.251;58.741,
Camer£n;CMR;475440;20.62575363;56.968;275.1979137;3.131200075;;883231.6576;57.656;60.192,
Congo, Rep£blica Democr tica del;COD;2344860;11.55686906;45.046;108.5167011;1.454949975;10.56469;956882.0832;58.852;61.901
Congo, Rep£blica del;COG;342000;31.11859444;67.373;202.8721289;3.511049986;;1335858.993;62.837;65.703
Colombia;COL;1141748.984;40.25741466;81.104;1312.199493;4.457489967;88.0191;21091404.04;74.33;79.859,
Comoras;COM;1861.000061;71.46695091;29.164;;;;602129.5784;62.399;65.9,
Cabo Verde;CPV;4030;19.60297767;66.195;;5.181749821;;354955.2085;69.316;76.007,
Costa Rica;CRI;51100;34.45945946;80.076;1942.48817;7.048759937;380.40758;7190724.334;77.539;82.73,
Estados pequeos del Caribe;CSS;434990;6.268000495;51.36999058;3062.982126;5.16918993;;;71.44739563;75.90319339,
Cuba;CUB;109880;59.86060561;77.109;1450.883717;;;8821.818891;76.763;80.706,
Curacao;CUW;444;;89.098;4797.670436;;;35243.56028;74.7;81.5,
Islas Caim n;CYM;260;11.2500002;100;;;;71642.98812;;,
Chipre;CYP;9250;12.15692661;66.805;3624.971253;5.777190208;1255.85256;24885.88281;78.735;82.913,
Rep£blica Checa;CZE;78870;45.18259518;73.921;6258.891037;3.854020119;3862.67088;538783.9537;76.2;82,
Alemania;DEU;357580;47.67861232;77.376;7035.482975;4.905119896;5211.87408;41488.43828;78.6;83.3,
Djibouti;DJI;23200;73.4253667;77.915;;3.627739906;;606900.4478;64.629;68.778,
Dominica;DMA;750;33.33333333;70.786;;5.573450089;;21898.53498;;,
Dinamarca;DNK;42920;62.01476542;87.994;5858.801536;7.816080093;8065.88729;401302.888;79.1;82.9,
Rep£blica Dominicana;DOM;48670;48.68557235;81.828;1615.515242;;;424830.3304;70.805;77.196,
Argelia;DZA;2381740;17.36553915;73.189;1362.871919;;819.3427;474491.3102;75.494;77.938,
Asia oriental y el Pac¡fico (excluido altos ingresos);EAP;16272855;48.81373547;56.57000362;3048.799369;;1131.226224;;72.82216282;77.77063531,
inicial del dividendo demogr fico;EAR;34108218.05;41.46629644;45.54080566;1151.506066;;318.2317617;;68.70042132;72.39325794,
Asia oriental y el Pac¡fico;EAS;24827743.4;47.78377989;59.88726026;3677.511598;;1622.921926;;73.61050572;78.69815177,
Europa y Asia central (excluido altos ingresos);ECA;23235211.88;27.86409082;67.81762522;4346.436257;4.09250021;1935.155639;;69.72380951;77.64055556,
Europa y Asia central;ECS;28691030.98;29.34098639;72.40935588;5376.539099;4.783239841;3373.029812;;74.86021668;81.14944876,
Ecuador;ECU;256370;22.2096956;63.986;1376.393115;;;6183.823825;74.058;79.645,
Egipto, Rep£blica µrabe de;EGY;1001450;3.750836325;42.73;1683.213518;;686.71743;53017.25435;69.599;74.162
Zona del Euro;EMU;2759787.593;43.03609477;77.21916388;6352.830125;4.939249992;4180.055428;;79.55186717;84.70234017,
Eritrea;ERI;117600;75.16831683;;96.63443405;;;;63.79;68.162,
Espa¤a;ESP;505935;52.57724744;80.565;5355.987006;4.20773983;3000.8872;26441.31509;80.7;86.3,
Estonia;EST;45340;23.07338394;69.051;6732.367473;4.973380089;3755.32912;21191.46609;74;82.7,
Etiop¡a;ETH;1104300;36.259;21.225;69.19875316;;90.52892;24007.68638;64.35;68.165,
Uni¢n Europea;EUU;4140707.593;41.0727094;74.73055441;6021.860983;4.725169897;3994.154854;;78.34889863;83.8671747,
Fr giles y situaciones de conflicto afectados;FCS;16833942.99;32.45904607;44.95006857;467.807318;3.787309885;;;59.74760447;63.24654835,
Finlandia;FIN;338450;7.485768813;85.446;15249.98938;6.376210213;6861.10974;43576.5067;79.1;84.5,
Fiji;FJI;18270;23.26217843;56.75;;;;13342.38999;65.641;69.178,
Francia;FRA;549086.9922;52.44754417;80.709;6939.943525;5.451600075;4715.31913;36172.26495;79.7;85.9,
Islas Feroe;FRO;1396.000061;2.148997041;42.225;;;;405837.4745;80.5;84.7,
Micronesia (Estados Federados de);FSM;700;31.42857143;22.812;;;;3568.291016;66.117;69.454,
Gab¢n;GAB;267670;20.02561416;89.741;1167.852214;;;4550778.591;64.152;68.323,
Reino Unido;GBR;243610;71.71487814;83.652;5130.390253;5.442090034;4603.31022;33163.32359;79.5;83.1,
Georgia;GEO;69700;34.45100014;59.039;2693.97276;3.52105999;1463.77339;13238.60127;69.174;77.989,
Ghana;GHA;238540;68.99885734;56.707;351.301579;3.989439964;89.11206;11489.31776;62.724;64.852,
Gibraltar;GIB;10;;100;5693.106004;;;;;,
Guinea;GIN;245860;59.01025558;36.5;;2.315939903;;8842602.232;60.477;61.666,
Gambia;GMB;11300;59.7826087;61.931;;2.420300007;52.89256;38939.20985;60.362;63.151,
Guinea-Bissau;GNB;36130;57.9658606;43.777;;;;408552.7679;55.965;59.913,
Guinea Ecuatorial;GNQ;28050;10.12477718;72.627;;;;4764583.657;57.41;59.587,
Grecia;GRC;131960;47.60279286;79.388;5062.606422;;3482.71652;17492.61444;79.3;84.4,
Granada;GRD;340;23.52941176;36.396;;3.173799992;;29183.41473;70.064;74.941,
Groenlandia;GRL;410450;0.592301134;87.052;;;;343962.3012;68.8;73,
Guatemala;GTM;108890;35.98357596;51.439;601.1897311;3.212199926;14.07038;35558.64054;71.119;76.937,
Guam;GUM;540;33.33333333;94.859;;;;35712.56214;76.607;83.365,
Guyana;GUY;214970;8.636017272;26.689;;5.493579865;;1378098.77;66.783;72.972,
Ingreso alto;HIC;37468305.51;35.26947388;81.0477557;8928.869815;4.939249992;4350.777413;;78.13491919;83.35037929,
Hong Kong, Regi¢n Administrativa Especial;HKG;1110;4.761904762;100;6083.269936;3.810580015;4026.46326;381713.9089;82.3;87.7
Honduras;HND;112490;28.9123246;57.73;619.8363949;6.06746006;34.68019;63107.23543;72.771;77.378,
Pa¡ses pobres muy endeudados (PPME);HPC;17874796;38.60460719;36.48128141;214.038024;3.547209978;;;61.37883973;64.88917837,
Croacia;HRV;56590;27.59113653;57.242;3714.382988;3.917129993;1921.13136;98915.00049;74.9;81.4,
Hait¡;HTI;27750;66.76342525;56.192;39.05580506;2.780469894;;107061.6602;61.5;65.832,
Hungr¡a;HUN;93030;58.35634596;71.644;3965.958233;4.667099953;3237.70314;4863271.241;72.7;79.6,
